Code Smell,New Code Snippet ID,Severity,Code Snippet ID
Long Method,Aseprite.AsepriteFile.AsepriteFile,2,Aseprite.AsepriteFile.AsepriteFile(string)
Long Method,"Aseprite.AsepriteFile.AsepriteFile(string, ContentBuildLogger)",3,"Aseprite.AsepriteFile.AsepriteFile(string, ContentBuildLogger)"
Long Method,Aseprite.AsepriteFile.ConvertBytesToPixels,2,"Aseprite.AsepriteFile.ConvertBytesToPixels(byte[], Color[], Color[])"
Long Method,Aseprite.AsepriteImporter.Import,0,"Aseprite.AsepriteImporter.Import(string, ContentImporterContext)"
Long Method,Aseprite.AsepriteProcessor.Process,0,"Aseprite.AsepriteProcessor.Process(Aseprite.AsepriteFile, ContentProcessorContext)"
Long Method,Aseprite.AsepriteReader.Read,3,"Aseprite.AsepriteReader.Read(ContentReader, Aseprite.AsepriteFile)"
Long Method,Aseprite.AsepriteWriter.GetRuntimeReader,0,Aseprite.AsepriteWriter.GetRuntimeReader(TargetPlatform)
Long Method,Aseprite.AsepriteWriter.GetRuntimeType,0,Aseprite.AsepriteWriter.GetRuntimeType(TargetPlatform)
Long Method,Aseprite.AsepriteWriter.Write,2,"Aseprite.AsepriteWriter.Write(ContentWriter, Aseprite.ProcessedAseprite)"
Long Method,Aseprite.AudioImporter.Import,0,"Aseprite.AudioImporter.Import(string, ContentImporterContext)"
Long Method,Aseprite.AudioImporter.Load,0,Aseprite.AudioImporter.Load(string)
Long Method,Aseprite.AudioProcessor.Process,0,"Aseprite.AudioProcessor.Process(Aseprite.AudioFile, ContentProcessorContext)"
Long Method,Aseprite.AudioReader.Read,0,"Aseprite.AudioReader.Read(ContentReader, Aseprite.AudioFile)"
Long Method,Aseprite.AudioWriter.GetRuntimeReader,0,Aseprite.AudioWriter.GetRuntimeReader(TargetPlatform)
Long Method,Aseprite.AudioWriter.GetRuntimeType,0,Aseprite.AudioWriter.GetRuntimeType(TargetPlatform)
Long Method,Aseprite.AudioWriter.Write,0,"Aseprite.AudioWriter.Write(ContentWriter, Aseprite.AudioFile)"
Long Method,Aseprite.Calc.IsBitSet,0,"Aseprite.Calc.IsBitSet(uint, int)"
Long Method,BurningKnight.assets.CommonAse.Load,0,BurningKnight.assets.CommonAse.Load()
Long Method,BurningKnight.assets.Dialogs.Add,0,BurningKnight.assets.Dialogs.Add(BurningKnight.ui.dialog.Dialog)
Long Method,BurningKnight.assets.Dialogs.Get,0,BurningKnight.assets.Dialogs.Get(string)
Long Method,BurningKnight.assets.Dialogs.Load,2,BurningKnight.assets.Dialogs.Load()
Long Method,BurningKnight.assets.Dialogs.ParseNode,0,BurningKnight.assets.Dialogs.ParseNode(BurningKnight.ui.imgui.node.ImNode)
Long Method,BurningKnight.assets.Dialogs.RegisterCallback,0,"BurningKnight.assets.Dialogs.RegisterCallback(string, Func<BurningKnight.ui.dialog.Dialog, BurningKnight.ui.dialog.DialogComponent, BurningKnight.ui.dialog.Dialog>)"
Long Method,BurningKnight.assets.Font.Load,0,BurningKnight.assets.Font.Load()
Long Method,BurningKnight.assets.Font.LoadFont,0,BurningKnight.assets.Font.LoadFont(string)
Long Method,BurningKnight.assets.ImGuiHelper.BeforeRender,3,BurningKnight.assets.ImGuiHelper.BeforeRender()
Long Method,BurningKnight.assets.ImGuiHelper.Begin,0,BurningKnight.assets.ImGuiHelper.Begin()
Long Method,BurningKnight.assets.ImGuiHelper.BindTextures,0,BurningKnight.assets.ImGuiHelper.BindTextures()
Long Method,BurningKnight.assets.ImGuiHelper.ClearNodes,0,BurningKnight.assets.ImGuiHelper.ClearNodes()
Long Method,BurningKnight.assets.ImGuiHelper.Copy,0,BurningKnight.assets.ImGuiHelper.Copy(bool)
Long Method,BurningKnight.assets.ImGuiHelper.End,0,BurningKnight.assets.ImGuiHelper.End()
Long Method,BurningKnight.assets.ImGuiHelper.Init,0,BurningKnight.assets.ImGuiHelper.Init()
Long Method,BurningKnight.assets.ImGuiHelper.Node,0,BurningKnight.assets.ImGuiHelper.Node(BurningKnight.ui.imgui.node.ImNode)
Long Method,BurningKnight.assets.ImGuiHelper.Paste,0,BurningKnight.assets.ImGuiHelper.Paste()
Long Method,BurningKnight.assets.ImGuiHelper.RenderAddNew,0,BurningKnight.assets.ImGuiHelper.RenderAddNew()
Long Method,BurningKnight.assets.ImGuiHelper.RenderMenu,0,BurningKnight.assets.ImGuiHelper.RenderMenu(bool)
